rank,film_title,film_year,film_rating,link_url
87,A Separation,2011,8.3,https://www.imdb.com/title/tt1832382/
88,Incendies,2010,8.3,https://www.imdb.com/title/tt1255953/
89,7 Kogustaki Mucize,2019,8.3,https://www.imdb.com/title/tt10431500/
90,Babam ve Oglum,2005,8.3,https://www.imdb.com/title/tt0476735/
91,Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/
92,Inglourious Basterds,2009,8.3,https://www.imdb.com/title/tt0361748/
93,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/
94,Amélie,2001,8.3,https://www.imdb.com/title/tt0211915/
95,Snatch,2000,8.3,https://www.imdb.com/title/tt0208092/
96,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/
97,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/
98,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/
99,Children of Heaven,1997,8.3,https://www.imdb.com/title/tt0118849/
100,The Bandit,1996,8.3,https://www.imdb.com/title/tt0116231/
101,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/
102,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/
103,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/
104,Full Metal Jacket,1987,8.3,https://www.imdb.com/title/tt0093058/
105,Come and See,1985,8.3,https://www.imdb.com/title/tt0091251/
106,Aliens,1986,8.3,https://www.imdb.com/title/tt0090605/
107,Amadeus,1984,8.3,https://www.imdb.com/title/tt0086879/
108,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/
109,Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/
110,Taxi Driver,1976,8.3,https://www.imdb.com/title/tt0075314/
111,The Sting,1973,8.3,https://www.imdb.com/title/tt0070735/
112,A Clockwork Orange,1971,8.3,https://www.imdb.com/title/tt0066921/
113,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/
114,For a Few Dollars More,1965,8.3,https://www.imdb.com/title/tt0059578/
115,Lawrence of Arabia,1962,8.3,https://www.imdb.com/title/tt0056172/
116,The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/
117,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/
118,Vertigo,1958,8.3,https://www.imdb.com/title/tt0052357/
119,Singin' in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/
120,Ikiru,1952,8.3,https://www.imdb.com/title/tt0044741/
121,Bicycle Thieves,1948,8.3,https://www.imdb.com/title/tt0040522/
122,Double Indemnity,1944,8.3,https://www.imdb.com/title/tt0036775/
123,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/
124,M,1931,8.3,https://www.imdb.com/title/tt0022100/
125,Metropolis,1927,8.3,https://www.imdb.com/title/tt0017136/
126,The Kid,1921,8.3,https://www.imdb.com/title/tt0012349/
127,K.G.F,2018,8.2,https://www.imdb.com/title/tt7838252/
128,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/
129,A Silent Voice,2016,8.2,https://www.imdb.com/title/tt5323662/
130,"Three Billboards Outside Ebbing, Missouri",2017,8.2,https://www.imdb.com/title/tt5027774/
131,Talvar,2015,8.2,https://www.imdb.com/title/tt4934950/
132,Baahubali 2: The Conclusion,2017,8.2,https://www.imdb.com/title/tt4849438/
133,Klaus,2019,8.2,https://www.imdb.com/title/tt4729430/
134,Drishyam,2015,8.2,https://www.imdb.com/title/tt4430212/
135,Queen,2013,8.2,https://www.imdb.com/title/tt3322420/
136,Tangerines,2013,8.2,https://www.imdb.com/title/tt2991224/
137,Gully Boy,2019,8.2,https://www.imdb.com/title/tt2395469/
138,Bhaag Milkha Bhaag,2013,8.2,https://www.imdb.com/title/tt2356180/
139,Gangs of Wasseypur,2012,8.2,https://www.imdb.com/title/tt1954470/
140,Udaan,2010,8.2,https://www.imdb.com/title/tt1639426/
141,Paan Singh Tomar,2012,8.2,https://www.imdb.com/title/tt1620933/
142,The Secret in Their Eyes,2009,8.2,https://www.imdb.com/title/tt1305806/
143,Warrior,2011,8.2,https://www.imdb.com/title/tt1291584/
144,Up,2009,8.2,https://www.imdb.com/title/tt1049413/
145,The Wolf of Wall Street,2013,8.2,https://www.imdb.com/title/tt0993846/
146,Chak De! India,2007,8.2,https://www.imdb.com/title/tt0871510/
147,There Will Be Blood,2007,8.2,https://www.imdb.com/title/tt0469494/
148,Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/
149,V for Vendetta,2005,8.2,https://www.imdb.com/title/tt0434409/
150,Rang De Basanti,2006,8.2,https://www.imdb.com/title/tt0405508/
151,Black,2005,8.2,https://www.imdb.com/title/tt0375611/
152,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/
153,"Swades: We, the People",2004,8.2,https://www.imdb.com/title/tt0367110/
154,Downfall,2004,8.2,https://www.imdb.com/title/tt0363163/
155,Howl's Moving Castle,2004,8.2,https://www.imdb.com/title/tt0347149/
156,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/
157,Hera Pheri,2000,8.2,https://www.imdb.com/title/tt0242519/
158,"Lock, Stock and Two Smoking Barrels",1998,8.2,https://www.imdb.com/title/tt0120735/
159,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/
160,Heat,1995,8.2,https://www.imdb.com/title/tt0113277/
161,Casino,1995,8.2,https://www.imdb.com/title/tt0112641/
162,Andaz Apna Apna,1994,8.2,https://www.imdb.com/title/tt0109117/
163,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/
164,Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/
165,My Neighbour Totoro,1988,8.2,https://www.imdb.com/title/tt0096283/
166,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/
167,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/
168,Raging Bull,1980,8.2,https://www.imdb.com/title/tt0081398/
169,Stalker,1979,8.2,https://www.imdb.com/title/tt0079944/
170,The Message,1976,8.2,https://www.imdb.com/title/tt0074896/
171,Sholay,1975,8.2,https://www.imdb.com/title/tt0073707/
172,Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/
173,Chinatown,1974,8.2,https://www.imdb.com/title/tt0071315/
174,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/
175,To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/
176,Yojimbo,1961,8.2,https://www.imdb.com/title/tt0055630/
177,Judgment at Nuremberg,1961,8.2,https://www.imdb.com/title/tt0055031/
178,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/
179,Wild Strawberries,1957,8.2,https://www.imdb.com/title/tt0050986/
180,The Seventh Seal,1957,8.2,https://www.imdb.com/title/tt0050976/
181,Dial M for Murder,1954,8.2,https://www.imdb.com/title/tt0046912/
182,Tokyo Story,1953,8.2,https://www.imdb.com/title/tt0046438/
183,Rashomon,1950,8.2,https://www.imdb.com/title/tt0042876/
184,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/
185,The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.com/title/tt0040897/
186,To Be or Not to Be,1942,8.2,https://www.imdb.com/title/tt0035446/
187,The Gold Rush,1925,8.2,https://www.imdb.com/title/tt0015864/
188,Sherlock Jr.,1924,8.2,https://www.imdb.com/title/tt0015324/
189,Portrait of a Lady on Fire,2019,8.1,https://www.imdb.com/title/tt8613070/
190,Pink,2016,8.1,https://www.imdb.com/title/tt5571734/
191,The Invisible Guest,2016,8.1,https://www.imdb.com/title/tt4857264/
192,The Handmaiden,2016,8.1,https://www.imdb.com/title/tt4016934/
193,Mommy,2014,8.1,https://www.imdb.com/title/tt3612616/
194,Haider,2014,8.1,https://www.imdb.com/title/tt3390572/
195,Logan,2017,8.1,https://www.imdb.com/title/tt3315342/
196,Room,2015,8.1,https://www.imdb.com/title/tt3170832/
197,Wild Tales,2014,8.1,https://www.imdb.com/title/tt3011894/
198,Kis Uykusu,2014,8.1,https://www.imdb.com/title/tt2758880/
199,Baahubali: The Beginning,2015,8.1,https://www.imdb.com/title/tt2631186/
200,PK,2014,8.1,https://www.imdb.com/title/tt2338151/
201,OMG: Oh My God!,2012,8.1,https://www.imdb.com/title/tt2283748/
202,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/
203,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/
204,Wolf Children,2012,8.1,https://www.imdb.com/title/tt2140203/
205,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/
206,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/
207,Barfi!,2012,8.1,https://www.imdb.com/title/tt2082197/
208,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/
209,Rush,2013,8.1,https://www.imdb.com/title/tt1979320/
210,Le Mans '66,2019,8.1,https://www.imdb.com/title/tt1950186/
211,Spotlight,2015,8.1,https://www.imdb.com/title/tt1895587/
212,Song of the Sea,2014,8.1,https://www.imdb.com/title/tt1865505/
213,Kahaani,2012,8.1,https://www.imdb.com/title/tt1821480/
214,Zindagi Na Milegi Dobara,2011,8.1,https://www.imdb.com/title/tt1562872/
215,The Help,2011,8.1,https://www.imdb.com/title/tt1454029/
216,Prisoners,2013,8.1,https://www.imdb.com/title/tt1392214/
217,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/
218,A Wednesday,2008,8.1,https://www.imdb.com/title/tt1280558/
219,Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/
220,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com/title/tt1201607/
221,Shutter Island,2010,8.1,https://www.imdb.com/title/tt1130884/
222,Departures,2008,8.1,https://www.imdb.com/title/tt1069238/
223,Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/
224,Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/
225,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/
226,Elite Squad,2007,8.1,https://www.imdb.com/title/tt0861739/
227,Into the Wild,2007,8.1,https://www.imdb.com/title/tt0758758/
228,No Country for Old Men,2007,8.1,https://www.imdb.com/title/tt0477348/
229,Lage Raho Munna Bhai,2006,8.1,https://www.imdb.com/title/tt0456144/
230,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/
231,Hotel Rwanda,2004,8.1,https://www.imdb.com/title/tt0395169/
232,Brotherhood,2004,8.1,https://www.imdb.com/title/tt0386064/
233,Munna Bhai M.B.B.S.,2003,8.1,https://www.imdb.com/title/tt0374887/
234,Memories of Murder,2003,8.1,https://www.imdb.com/title/tt0353969/
235,Dil Chahta Hai,2001,8.1,https://www.imdb.com/title/tt0292490/
236,Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com/title/tt0266697/
237,Finding Nemo,2003,8.1,https://www.imdb.com/title/tt0266543/
238,Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/
239,Amores Perros,2000,8.1,https://www.imdb.com/title/tt0245712/
240,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,https://www.imdb.com/title/tt0169858/
241,Lagaan: Once Upon a Time in India,2001,8.1,https://www.imdb.com/title/tt0169102/
242,The Sixth Sense,1999,8.1,https://www.imdb.com/title/tt0167404/
243,The Legend of 1900,1998,8.1,https://www.imdb.com/title/tt0120731/
244,The Truman Show,1998,8.1,https://www.imdb.com/title/tt0120382/
245,"Crna macka, beli macor",1998,8.1,https://www.imdb.com/title/tt0118843/
246,The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/
247,In the Mood for Love,2000,8.1,https://www.imdb.com/title/tt0118694/
248,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/
249,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/
250,Underground,1995,8.1,https://www.imdb.com/title/tt0114787/
251,La Haine,1995,8.1,https://www.imdb.com/title/tt0113247/
252,Dilwale Dulhania Le Jayenge,1995,8.1,https://www.imdb.com/title/tt0112870/
